"field" "id" "type" "subtype" "period" "route"
"292" "SMC-SC4" 56831 "B" "B2" 1.39474 "./data/SMC-SC4-56831.dat"
"293" "SMC-SC4" 91595 "B" "B1" 3.283 "./data/SMC-SC4-91595.dat"
"294" "SMC-SC4" 82233 "B" "B2" 1.30993 "./data/SMC-SC4-82233.dat"
"295" "SMC-SC4" 63467 "B" "B1" 2.43852 "./data/SMC-SC4-63467.dat"
"296" "SMC-SC4" 85282 "B" "B2" 1.56952 "./data/SMC-SC4-85282.dat"
"297" "SMC-SC4" 49179 "B" "B1" 4.12661 "./data/SMC-SC4-49179.dat"
"298" "SMC-SC4" 71674 "B" "B2" 1.25584 "./data/SMC-SC4-71674.dat"
"299" "SMC-SC4" 60146 "B" "B2" 1.88085 "./data/SMC-SC4-60146.dat"
"300" "SMC-SC4" 85274 "B" "B2" 2.1712 "./data/SMC-SC4-85274.dat"
"301" "SMC-SC4" 63728 "B" "B2" 1.66287 "./data/SMC-SC4-63728.dat"
"302" "SMC-SC4" 94286 "B" "B1" 1.63591 "./data/SMC-SC4-94286.dat"
"303" "SMC-SC4" 63373 "C" "C1" 8.48287 "./data/SMC-SC4-63373.dat"
"304" "SMC-SC4" 113691 "B" "B2" 1.39074 "./data/SMC-SC4-113691.dat"
"305" "SMC-SC4" 101175 "B" "B1" 5.09495 "./data/SMC-SC4-101175.dat"
"306" "SMC-SC4" 120892 "B" "B2" 1.94448 "./data/SMC-SC4-120892.dat"
"307" "SMC-SC4" 110580 "B" "B2" 1.38136 "./data/SMC-SC4-110580.dat"
"308" "SMC-SC4" 134254 "B" "B1" 3.13131 "./data/SMC-SC4-134254.dat"
"309" "SMC-SC4" 127867 "B" "B1" 4.43143 "./data/SMC-SC4-127867.dat"
"310" "SMC-SC4" 145356 "B" "B2" 1.29139 "./data/SMC-SC4-145356.dat"
"311" "SMC-SC4" 117050 "B" "B2" 1.90206 "./data/SMC-SC4-117050.dat"
"312" "SMC-SC4" 113676 "B" "B2" 1.84525 "./data/SMC-SC4-113676.dat"
"313" "SMC-SC4" 110307 "C" "C3" 5.3767 "./data/SMC-SC4-110307.dat"
"314" "SMC-SC4" 145215 "B" "B2" 2.02398 "./data/SMC-SC4-145215.dat"
"315" "SMC-SC4" 140260 "B" "B2" 1.2232 "./data/SMC-SC4-140260.dat"
"316" "SMC-SC4" 124509 "B" "B2" 1.63174 "./data/SMC-SC4-124509.dat"
"317" "SMC-SC4" 113626 "B" "B2" 1.98544 "./data/SMC-SC4-113626.dat"
"318" "SMC-SC4" 130978 "B" "B1" 23.9644 "./data/SMC-SC4-130978.dat"
"319" "SMC-SC4" 101254 "B" "B2" 2.12686 "./data/SMC-SC4-101254.dat"
"320" "SMC-SC4" 117048 "B" "B1" 2.13729 "./data/SMC-SC4-117048.dat"
"321" "SMC-SC4" 121090 "B" "B2" 1.31178 "./data/SMC-SC4-121090.dat"
"322" "SMC-SC4" 137264 "B" "B1" 2.2166 "./data/SMC-SC4-137264.dat"
"323" "SMC-SC4" 113742 "B" "B2" 1.34787 "./data/SMC-SC4-113742.dat"
"324" "SMC-SC4" 110572 "B" "B2" 1.58568 "./data/SMC-SC4-110572.dat"
"325" "SMC-SC4" 103713 "C" "C1" 5.8226 "./data/SMC-SC4-103713.dat"
"326" "SMC-SC4" 110395 "B" "B2" 3.12056 "./data/SMC-SC4-110395.dat"
"327" "SMC-SC4" 103953 "B" "B2" 1.56004 "./data/SMC-SC4-103953.dat"
"328" "SMC-SC4" 99120 "B" "B1" 1.5153 "./data/SMC-SC4-99120.dat"
"329" "SMC-SC4" 131025 "B" "B1" 3.04907 "./data/SMC-SC4-131025.dat"
"330" "SMC-SC4" 110284 "C" "C1" 5.83268 "./data/SMC-SC4-110284.dat"
"331" "SMC-SC4" 145239 "B" "B2" 1.4911 "./data/SMC-SC4-145239.dat"
"332" "SMC-SC4" 99288 "B" "B2" 1.03001 "./data/SMC-SC4-99288.dat"
"333" "SMC-SC4" 142771 "B" "B2" 4.88494 "./data/SMC-SC4-142771.dat"
"334" "SMC-SC4" 116966 "B" "B1" 6.87783 "./data/SMC-SC4-116966.dat"
"335" "SMC-SC4" 134322 "B" "B1" 1.7309 "./data/SMC-SC4-134322.dat"
"336" "SMC-SC4" 137258 "B" "B1" 4.28741 "./data/SMC-SC4-137258.dat"
"337" "SMC-SC4" 142848 "B" "B2" 1.43977 "./data/SMC-SC4-142848.dat"
"338" "SMC-SC4" 99153 "B" "B3" 1.12566 "./data/SMC-SC4-99153.dat"
"339" "SMC-SC4" 120774 "C" "C1" 27.2479 "./data/SMC-SC4-120774.dat"
"340" "SMC-SC4" 116934 "C" "C1" 7.01154 "./data/SMC-SC4-116934.dat"
"341" "SMC-SC4" 106998 "B" "B1" 2.65217 "./data/SMC-SC4-106998.dat"
"342" "SMC-SC4" 101177 "B" "B2" 3.84924 "./data/SMC-SC4-101177.dat"
"343" "SMC-SC4" 117207 "B" "B2" 1.68608 "./data/SMC-SC4-117207.dat"
"344" "SMC-SC4" 110478 "B" "B2" 1.30501 "./data/SMC-SC4-110478.dat"
"345" "SMC-SC4" 127841 "C" "C1" 6.91866 "./data/SMC-SC4-127841.dat"
"346" "SMC-SC4" 127957 "B" "B2" 1.94245 "./data/SMC-SC4-127957.dat"
"347" "SMC-SC4" 113723 "B" "B2" 1.74438 "./data/SMC-SC4-113723.dat"
"348" "SMC-SC4" 99284 "B" "B2" 1.65696 "./data/SMC-SC4-99284.dat"
"349" "SMC-SC4" 127950 "B" "B1" 2.10607 "./data/SMC-SC4-127950.dat"
"350" "SMC-SC4" 127995 "A" "A2" 1.55968 "./data/SMC-SC4-127995.dat"
"351" "SMC-SC4" 195747 "B" "B2" 2.23714 "./data/SMC-SC4-195747.dat"
"352" "SMC-SC4" 167210 "A" "A2" 9.34163 "./data/SMC-SC4-167210.dat"
"353" "SMC-SC4" 175255 "B" "B2" 2.58495 "./data/SMC-SC4-175255.dat"
"354" "SMC-SC4" 153291 "B" "B2" 1.77195 "./data/SMC-SC4-153291.dat"
"355" "SMC-SC4" 198664 "B" "B2" 2.03712 "./data/SMC-SC4-198664.dat"
"356" "SMC-SC4" 167207 "C" "C1" 11.7723 "./data/SMC-SC4-167207.dat"
"357" "SMC-SC4" 198699 "B" "B1" 2.58424 "./data/SMC-SC4-198699.dat"
"358" "SMC-SC4" 189914 "B" "B2" 1.26217 "./data/SMC-SC4-189914.dat"
"359" "SMC-SC4" 179331 "B" "B2" 1.04313 "./data/SMC-SC4-179331.dat"
"360" "SMC-SC4" 189819 "B" "B2" 3.282 "./data/SMC-SC4-189819.dat"
"361" "SMC-SC4" 198733 "B" "B2" 1.11763 "./data/SMC-SC4-198733.dat"
"362" "SMC-SC4" 159822 "C" "C1" 15.2835 "./data/SMC-SC4-159822.dat"
"363" "SMC-SC4" 178939 "C" "C1" 13.6502 "./data/SMC-SC4-178939.dat"
"364" "SMC-SC4" 186340 "B" "B2" 8.37633 "./data/SMC-SC4-186340.dat"
"365" "SMC-SC4" 156368 "B" "B2" 1.62528 "./data/SMC-SC4-156368.dat"
"366" "SMC-SC4" 149945 "B" "B2" 1.93618 "./data/SMC-SC4-149945.dat"
"367" "SMC-SC4" 156459 "B" "B2" 1.75054 "./data/SMC-SC4-156459.dat"
"368" "SMC-SC4" 179064 "B" "B1" 1.86602 "./data/SMC-SC4-179064.dat"
"369" "SMC-SC4" 186441 "B" "B1" 2.03688 "./data/SMC-SC4-186441.dat"
"370" "SMC-SC4" 182577 "B" "B1" 4.19312 "./data/SMC-SC4-182577.dat"
"371" "SMC-SC4" 149961 "B" "B2" 1.70359 "./data/SMC-SC4-149961.dat"
"372" "SMC-SC4" 171488 "B" "B2" 1.3153 "./data/SMC-SC4-171488.dat"
"373" "SMC-SC4" 149863 "B" "B2" 2.1022 "./data/SMC-SC4-149863.dat"
"374" "SMC-SC4" 182752 "B" "B2" 1.43217 "./data/SMC-SC4-182752.dat"
"375" "SMC-SC4" 189805 "B" "B1" 2.64756 "./data/SMC-SC4-189805.dat"
"376" "SMC-SC4" 175537 "B" "B2" 2.29675 "./data/SMC-SC4-175537.dat"
"377" "SMC-SC4" 186527 "B" "B2" 1.16391 "./data/SMC-SC4-186527.dat"
"378" "SMC-SC4" 147587 "B" "B2" 1.91205 "./data/SMC-SC4-147587.dat"
"379" "SMC-SC4" 163840 "B" "B2" 1.50465 "./data/SMC-SC4-163840.dat"
"380" "SMC-SC4" 192882 "B" "B2" 2.0072 "./data/SMC-SC4-192882.dat"
"381" "SMC-SC4" 189757 "C" "C1" 24.4808 "./data/SMC-SC4-189757.dat"
"382" "SMC-SC4" 178944 "B" "B1" 5.75625 "./data/SMC-SC4-178944.dat"
"383" "SMC-SC4" 175285 "B" "B1" 1.7613 "./data/SMC-SC4-175285.dat"
"384" "SMC-SC4" 192931 "B" "B1" 1.87919 "./data/SMC-SC4-192931.dat"
"385" "SMC-SC4" 167230 "B" "B1" 3.90049 "./data/SMC-SC4-167230.dat"
"386" "SMC-SC4" 189810 "B" "B1" 2.99289 "./data/SMC-SC4-189810.dat"
"387" "SMC-SC4" 198715 "B" "B1" 1.52427 "./data/SMC-SC4-198715.dat"
"388" "SMC-SC4" 193064 "B" "B2" 1.28378 "./data/SMC-SC4-193064.dat"
"389" "SMC-SC4" 179076 "B" "B1" 1.63616 "./data/SMC-SC4-179076.dat"
"390" "SMC-SC4" 167473 "B" "B2" 1.11185 "./data/SMC-SC4-167473.dat"
"391" "SMC-SC4" 167344 "B" "B1" 1.95433 "./data/SMC-SC4-167344.dat"
"392" "SMC-SC4" 175282 "B" "B1" 1.73505 "./data/SMC-SC4-175282.dat"
"393" "SMC-SC4" 147628 "B" "B2" 1.72703 "./data/SMC-SC4-147628.dat"
"394" "SMC-SC4" 192867 "B" "B1" 3.69281 "./data/SMC-SC4-192867.dat"
"395" "SMC-SC4" 160098 "C" "C1" 5.78031 "./data/SMC-SC4-160098.dat"
"396" "SMC-SC4" 175192 "B" "B1" 6.44702 "./data/SMC-SC4-175192.dat"
"397" "SMC-SC4" 153169 "B" "B1" 3.14325 "./data/SMC-SC4-153169.dat"
"398" "SMC-SC4" 186512 "B" "B2" 1.31338 "./data/SMC-SC4-186512.dat"
"399" "SMC-SC4" 149926 "B" "B1" 1.83831 "./data/SMC-SC4-149926.dat"
"400" "SMC-SC4" 182649 "B" "B1" 2.38587 "./data/SMC-SC4-182649.dat"
"401" "SMC-SC4" 192883 "B" "B2" 1.85523 "./data/SMC-SC4-192883.dat"
"402" "SMC-SC4" 171550 "B" "B2" 1.16562 "./data/SMC-SC4-171550.dat"
"403" "SMC-SC4" 160046 "B" "B1" 1.81713 "./data/SMC-SC4-160046.dat"
"404" "SMC-SC4" 149910 "B" "B1" 2.02202 "./data/SMC-SC4-149910.dat"
"405" "SMC-SC4" 156285 "B" "B2" 1.76957 "./data/SMC-SC4-156285.dat"
"406" "SMC-SC5" 11508 "B" "B2" 1.76963 "./data/SMC-SC5-11508.dat"
"407" "SMC-SC4" 149900 "B" "B2" 1.70213 "./data/SMC-SC4-149900.dat"
"408" "SMC-SC5" 3339 "B" "B3" 1.70218 "./data/SMC-SC5-3339.dat"
"409" "SMC-SC4" 175324 "B" "B2" 1.59749 "./data/SMC-SC4-175324.dat"
"410" "SMC-SC4" 149963 "B" "B2" 1.77044 "./data/SMC-SC4-149963.dat"
"411" "SMC-SC5" 7187 "B" "B2" 1.77047 "./data/SMC-SC5-7187.dat"
"412" "SMC-SC4" 167178 "B" "B1" 30.0756 "./data/SMC-SC4-167178.dat"
"413" "SMC-SC5" 26510 "C" "C1" 29.7818 "./data/SMC-SC5-26510.dat"
"414" "SMC-SC4" 163579 "B" "B1" 1.71607 "./data/SMC-SC4-163579.dat"
"415" "SMC-SC5" 21147 "B" "B1" 1.71604 "./data/SMC-SC5-21147.dat"
"416" "SMC-SC5" 54826 "B" "B1" 2.47945 "./data/SMC-SC5-54826.dat"
"417" "SMC-SC4" 186421 "B" "B1" 2.47951 "./data/SMC-SC4-186421.dat"
"418" "SMC-SC5" 43773 "B" "B1" 2.0044 "./data/SMC-SC5-43773.dat"
"419" "SMC-SC4" 179047 "B" "B2" 2.00436 "./data/SMC-SC4-179047.dat"
"420" "SMC-SC4" 171280 "B" "B1" 5.10662 "./data/SMC-SC4-171280.dat"
"421" "SMC-SC5" 32404 "B" "B1" 5.1067 "./data/SMC-SC5-32404.dat"
"422" "SMC-SC5" 94 "B" "B2" 1.60256 "./data/SMC-SC5-94.dat"
"423" "SMC-SC5" 26530 "C" "C1" 10.3096 "./data/SMC-SC5-26530.dat"
"424" "SMC-SC5" 74766 "B" "B2" 1.97345 "./data/SMC-SC5-74766.dat"
"425" "SMC-SC4" 198645 "B" "B2" 1.97326 "./data/SMC-SC4-198645.dat"
"426" "SMC-SC5" 21054 "C" "C1" 14.0664 "./data/SMC-SC5-21054.dat"
"427" "SMC-SC4" 163514 "C" "C1" 14.0635 "./data/SMC-SC4-163514.dat"
"428" "SMC-SC4" 150110 "B" "B2" 1.55757 "./data/SMC-SC4-150110.dat"
"429" "SMC-SC5" 7164 "B" "B2" 1.5576 "./data/SMC-SC5-7164.dat"
"430" "SMC-SC5" 54825 "B" "B3" 1.77116 "./data/SMC-SC5-54825.dat"
"431" "SMC-SC4" 195793 "B" "B1" 1.59794 "./data/SMC-SC4-195793.dat"
"432" "SMC-SC5" 74747 "B" "B2" 1.59798 "./data/SMC-SC5-74747.dat"
"433" "SMC-SC4" 186420 "B" "B2" 1.77115 "./data/SMC-SC4-186420.dat"
"434" "SMC-SC5" 43621 "B" "B2" 3.08923 "./data/SMC-SC5-43621.dat"
"435" "SMC-SC5" 54776 "B" "B1" 3.69923 "./data/SMC-SC5-54776.dat"
"436" "SMC-SC5" 3260 "B" "B2" 1.47482 "./data/SMC-SC5-3260.dat"
"437" "SMC-SC5" 26580 "B" "B3" 1.7668 "./data/SMC-SC5-26580.dat"
"438" "SMC-SC5" 33026 "B" "B2" 1.02572 "./data/SMC-SC5-33026.dat"
"439" "SMC-SC5" 65495 "C" "C1" 5.11418 "./data/SMC-SC5-65495.dat"
"440" "SMC-SC5" 26532 "A" "A2" 9.55275 "./data/SMC-SC5-26532.dat"
"441" "SMC-SC5" 60745 "B" "B2" 1.51244 "./data/SMC-SC5-60745.dat"
"442" "SMC-SC5" 21091 "B" "B1" 5.40458 "./data/SMC-SC5-21091.dat"
"443" "SMC-SC5" 3212 "B" "B1" 2.99598 "./data/SMC-SC5-3212.dat"
"444" "SMC-SC5" 32437 "B" "B1" 4.96567 "./data/SMC-SC5-32437.dat"
"445" "SMC-SC5" 26551 "B" "B1" 3.34984 "./data/SMC-SC5-26551.dat"
"446" "SMC-SC5" 136 "B" "B2" 1.41745 "./data/SMC-SC5-136.dat"
"447" "SMC-SC5" 32557 "B" "B2" 1.79499 "./data/SMC-SC5-32557.dat"
"448" "SMC-SC5" 11492 "B" "B2" 1.90002 "./data/SMC-SC5-11492.dat"
"449" "SMC-SC5" 49318 "B" "B2" 2.10571 "./data/SMC-SC5-49318.dat"
"450" "SMC-SC5" 65537 "B" "B1" 2.74964 "./data/SMC-SC5-65537.dat"
"451" "SMC-SC5" 21195 "B" "B2" 1.91675 "./data/SMC-SC5-21195.dat"
"452" "SMC-SC5" 179 "B" "B2" 1.06129 "./data/SMC-SC5-179.dat"
"453" "SMC-SC5" 16329 "B" "B2" 2.11019 "./data/SMC-SC5-16329.dat"
"454" "SMC-SC5" 7126 "B" "B1" 2.04231 "./data/SMC-SC5-7126.dat"
"455" "SMC-SC5" 26536 "C" "C1" 13.2984 "./data/SMC-SC5-26536.dat"
"456" "SMC-SC5" 21099 "C" "C1" 7.04867 "./data/SMC-SC5-21099.dat"
"457" "SMC-SC5" 38093 "B" "B2" 4.96998 "./data/SMC-SC5-38093.dat"
"458" "SMC-SC5" 21264 "C" "C1" 1.96262 "./data/SMC-SC5-21264.dat"
"459" "SMC-SC5" 43763 "B" "B2" 1.20755 "./data/SMC-SC5-43763.dat"
"460" "SMC-SC5" 60828 "B" "B2" 1.3599 "./data/SMC-SC5-60828.dat"
"461" "SMC-SC5" 43522 "C" "C1" 10.0389 "./data/SMC-SC5-43522.dat"
"462" "SMC-SC5" 49131 "B" "B3" 1.96172 "./data/SMC-SC5-49131.dat"
"463" "SMC-SC5" 54806 "B" "B2" 1.86305 "./data/SMC-SC5-54806.dat"
"464" "SMC-SC5" 95408 "B" "B2" 1.43037 "./data/SMC-SC5-95408.dat"
"465" "SMC-SC5" 54959 "B" "B1" 1.50233 "./data/SMC-SC5-54959.dat"
"466" "SMC-SC5" 82139 "B" "B2" 3.062 "./data/SMC-SC5-82139.dat"
"467" "SMC-SC5" 54814 "B" "B2" 2.13681 "./data/SMC-SC5-54814.dat"
"468" "SMC-SC5" 95272 "B" "B1" 4.09208 "./data/SMC-SC5-95272.dat"
"469" "SMC-SC5" 100444 "B" "B2" 1.71809 "./data/SMC-SC5-100444.dat"
"470" "SMC-SC5" 90508 "C" "C1" 6.56651 "./data/SMC-SC5-90508.dat"
"471" "SMC-SC5" 140688 "B" "B2" 3.62708 "./data/SMC-SC5-140688.dat"
"472" "SMC-SC5" 117684 "B" "B2" 1.59325 "./data/SMC-SC5-117684.dat"
"473" "SMC-SC5" 85882 "B" "B2" 2.05065 "./data/SMC-SC5-85882.dat"
"474" "SMC-SC5" 79098 "B" "B2" 1.30747 "./data/SMC-SC5-79098.dat"
"475" "SMC-SC5" 140908 "B" "B2" 1.69618 "./data/SMC-SC5-140908.dat"
"476" "SMC-SC5" 135224 "B" "B1" 3.34165 "./data/SMC-SC5-135224.dat"
"477" "SMC-SC5" 117591 "B" "B2" 1.08808 "./data/SMC-SC5-117591.dat"
"478" "SMC-SC5" 129453 "B" "B2" 1.82849 "./data/SMC-SC5-129453.dat"
"479" "SMC-SC5" 95332 "B" "B2" 1.43148 "./data/SMC-SC5-95332.dat"
"480" "SMC-SC5" 140659 "C" "C1" 11.1929 "./data/SMC-SC5-140659.dat"
"481" "SMC-SC5" 82171 "B" "B1" 1.88394 "./data/SMC-SC5-82171.dat"
"482" "SMC-SC5" 150640 "B" "B2" 1.6333 "./data/SMC-SC5-150640.dat"
"483" "SMC-SC5" 106013 "B" "B2" 1.28815 "./data/SMC-SC5-106013.dat"
"484" "SMC-SC5" 135277 "B" "B3" 3.44983 "./data/SMC-SC5-135277.dat"
"485" "SMC-SC5" 155026 "B" "B2" 1.81927 "./data/SMC-SC5-155026.dat"
"486" "SMC-SC5" 100379 "B" "B1" 2.94259 "./data/SMC-SC5-100379.dat"
"487" "SMC-SC5" 100478 "B" "B2" 1.75974 "./data/SMC-SC5-100478.dat"
"488" "SMC-SC5" 150569 "B" "B2" 1.68154 "./data/SMC-SC5-150569.dat"
"489" "SMC-SC5" 111708 "B" "B2" 1.88638 "./data/SMC-SC5-111708.dat"
"490" "SMC-SC5" 100284 "C" "C1" 17.5303 "./data/SMC-SC5-100284.dat"
"491" "SMC-SC5" 90571 "B" "B2" 1.62077 "./data/SMC-SC5-90571.dat"
"492" "SMC-SC5" 135273 "B" "B1" 2.76991 "./data/SMC-SC5-135273.dat"
"493" "SMC-SC5" 117481 "B" "B1" 3.00821 "./data/SMC-SC5-117481.dat"
"494" "SMC-SC5" 150566 "B" "B2" 1.60299 "./data/SMC-SC5-150566.dat"
"495" "SMC-SC5" 155062 "B" "B3" 1.20998 "./data/SMC-SC5-155062.dat"
"496" "SMC-SC5" 155034 "B" "B2" 1.74484 "./data/SMC-SC5-155034.dat"
"497" "SMC-SC5" 90561 "B" "B1" 1.48284 "./data/SMC-SC5-90561.dat"
"498" "SMC-SC5" 135399 "B" "B1" 1.50862 "./data/SMC-SC5-135399.dat"
"499" "SMC-SC5" 135466 "B" "B2" 1.73978 "./data/SMC-SC5-135466.dat"
"500" "SMC-SC5" 85939 "B" "B2" 1.55041 "./data/SMC-SC5-85939.dat"
"501" "SMC-SC5" 117459 "B" "B1" 4.84604 "./data/SMC-SC5-117459.dat"
"502" "SMC-SC5" 111570 "B" "B2" 1.78262 "./data/SMC-SC5-111570.dat"
"503" "SMC-SC5" 105815 "C" "C1" 15.6566 "./data/SMC-SC5-105815.dat"
"504" "SMC-SC5" 100348 "B" "B2" 3.82398 "./data/SMC-SC5-100348.dat"
"505" "SMC-SC5" 135299 "B" "B1" 2.84638 "./data/SMC-SC5-135299.dat"
"506" "SMC-SC5" 155078 "B" "B2" 1.24841 "./data/SMC-SC5-155078.dat"
"507" "SMC-SC5" 129586 "B" "B2" 1.70774 "./data/SMC-SC5-129586.dat"
"508" "SMC-SC5" 117526 "B" "B2" 3.28402 "./data/SMC-SC5-117526.dat"
"509" "SMC-SC5" 123315 "B" "B1" 9.93769 "./data/SMC-SC5-123315.dat"
"510" "SMC-SC5" 105913 "B" "B1" 2.53219 "./data/SMC-SC5-105913.dat"
"511" "SMC-SC5" 117410 "C" "C1" 15.8201 "./data/SMC-SC5-117410.dat"
"512" "SMC-SC5" 123624 "B" "B1" 1.67056 "./data/SMC-SC5-123624.dat"
"513" "SMC-SC5" 123355 "B" "B1" 3.8334 "./data/SMC-SC5-123355.dat"
"514" "SMC-SC5" 85942 "B" "B2" 1.67072 "./data/SMC-SC5-85942.dat"
"515" "SMC-SC5" 90978 "B" "B2" 1.22947 "./data/SMC-SC5-90978.dat"
"516" "SMC-SC5" 79028 "B" "B1" 3.28323 "./data/SMC-SC5-79028.dat"
"517" "SMC-SC5" 140700 "B" "B2" 2.75631 "./data/SMC-SC5-140700.dat"
"518" "SMC-SC5" 123319 "C" "C1" 9.02601 "./data/SMC-SC5-123319.dat"
"519" "SMC-SC5" 140909 "B" "B2" 1.39567 "./data/SMC-SC5-140909.dat"
"520" "SMC-SC5" 129452 "B" "B1" 2.43376 "./data/SMC-SC5-129452.dat"
"521" "SMC-SC5" 85866 "B" "B2" 1.42756 "./data/SMC-SC5-85866.dat"
"522" "SMC-SC5" 105813 "B" "B1" 28.7823 "./data/SMC-SC5-105813.dat"
"523" "SMC-SC5" 111547 "B" "B2" 2.49263 "./data/SMC-SC5-111547.dat"
"524" "SMC-SC5" 95344 "B" "B2" 1.55983 "./data/SMC-SC5-95344.dat"
"525" "SMC-SC5" 105829 "C" "C1" 16.2959 "./data/SMC-SC5-105829.dat"
"526" "SMC-SC5" 129408 "B" "B1" 3.45036 "./data/SMC-SC5-129408.dat"
"527" "SMC-SC5" 111455 "C" "C1" 9.18905 "./data/SMC-SC5-111455.dat"
"528" "SMC-SC5" 82134 "B" "B1" 3.42048 "./data/SMC-SC5-82134.dat"
"529" "SMC-SC5" 111675 "B" "B2" 1.77735 "./data/SMC-SC5-111675.dat"
"530" "SMC-SC5" 145731 "B" "B2" 1.70901 "./data/SMC-SC5-145731.dat"
"531" "SMC-SC5" 123342 "B" "B2" 3.225 "./data/SMC-SC5-123342.dat"
"532" "SMC-SC5" 111529 "B" "B2" 2.35108 "./data/SMC-SC5-111529.dat"
"533" "SMC-SC5" 155020 "B" "B2" 2.12511 "./data/SMC-SC5-155020.dat"
"534" "SMC-SC5" 159097 "B" "B2" 1.44231 "./data/SMC-SC5-159097.dat"
"535" "SMC-SC5" 185200 "B" "B2" 1.15175 "./data/SMC-SC5-185200.dat"
"536" "SMC-SC5" 220153 "B" "B2" 1.58659 "./data/SMC-SC5-220153.dat"
"537" "SMC-SC5" 170168 "C" "C1" 6.87435 "./data/SMC-SC5-170168.dat"
"538" "SMC-SC5" 170327 "B" "B2" 1.60516 "./data/SMC-SC5-170327.dat"
"539" "SMC-SC5" 220107 "B" "B2" 1.61173 "./data/SMC-SC5-220107.dat"
"540" "SMC-SC5" 235140 "C" "C1" 9.55967 "./data/SMC-SC5-235140.dat"
"541" "SMC-SC5" 214035 "B" "B2" 2.42351 "./data/SMC-SC5-214035.dat"
"542" "SMC-SC5" 166029 "B" "B1" 4.67236 "./data/SMC-SC5-166029.dat"
"543" "SMC-SC5" 214098 "B" "B2" 1.37002 "./data/SMC-SC5-214098.dat"
"544" "SMC-SC5" 214047 "B" "B2" 1.68595 "./data/SMC-SC5-214047.dat"
"545" "SMC-SC5" 220024 "B" "B2" 3.75969 "./data/SMC-SC5-220024.dat"
"546" "SMC-SC5" 190473 "C" "C1" 5.74893 "./data/SMC-SC5-190473.dat"
"547" "SMC-SC5" 174949 "B" "B1" 6.48683 "./data/SMC-SC5-174949.dat"
"548" "SMC-SC5" 208035 "B" "B1" 2.42296 "./data/SMC-SC5-208035.dat"
"549" "SMC-SC5" 162464 "B" "B2" 1.48842 "./data/SMC-SC5-162464.dat"
"550" "SMC-SC5" 225242 "B" "B2" 1.89756 "./data/SMC-SC5-225242.dat"
"551" "SMC-SC5" 185353 "B" "B2" 1.36088 "./data/SMC-SC5-185353.dat"
"552" "SMC-SC5" 225257 "B" "B2" 2.07215 "./data/SMC-SC5-225257.dat"
"553" "SMC-SC5" 214053 "B" "B2" 2.08696 "./data/SMC-SC5-214053.dat"
"554" "SMC-SC5" 196383 "B" "B1" 32.0072 "./data/SMC-SC5-196383.dat"
"555" "SMC-SC5" 196441 "B" "B1" 5.88931 "./data/SMC-SC5-196441.dat"
"556" "SMC-SC5" 207977 "C" "C1" 7.16365 "./data/SMC-SC5-207977.dat"
"557" "SMC-SC5" 175196 "B" "B2" 1.32361 "./data/SMC-SC5-175196.dat"
"558" "SMC-SC5" 202183 "B" "B1" 5.00186 "./data/SMC-SC5-202183.dat"
"559" "SMC-SC5" 196573 "B" "B2" 1.43704 "./data/SMC-SC5-196573.dat"
"560" "SMC-SC5" 235190 "B" "B1" 2.40948 "./data/SMC-SC5-235190.dat"
"561" "SMC-SC5" 225253 "B" "B1" 2.10128 "./data/SMC-SC5-225253.dat"
"562" "SMC-SC5" 196424 "C" "C1" 5.95544 "./data/SMC-SC5-196424.dat"
"563" "SMC-SC5" 170220 "B" "B1" 2.56346 "./data/SMC-SC5-170220.dat"
"564" "SMC-SC5" 196641 "B" "B2" 1.46948 "./data/SMC-SC5-196641.dat"
"565" "SMC-SC5" 235206 "B" "B1" 2.49214 "./data/SMC-SC5-235206.dat"
"566" "SMC-SC5" 166096 "B" "B3" 1.23657 "./data/SMC-SC5-166096.dat"
"567" "SMC-SC5" 196642 "B" "B1" 1.42854 "./data/SMC-SC5-196642.dat"
"568" "SMC-SC5" 207995 "B" "B2" 1.38829 "./data/SMC-SC5-207995.dat"
"569" "SMC-SC5" 162471 "B" "B1" 2.87671 "./data/SMC-SC5-162471.dat"
"570" "SMC-SC5" 180060 "B" "B1" 3.19057 "./data/SMC-SC5-180060.dat"
"571" "SMC-SC5" 162441 "B" "B1" 3.37289 "./data/SMC-SC5-162441.dat"
"572" "SMC-SC5" 213952 "B" "B1" 27.413 "./data/SMC-SC5-213952.dat"
"573" "SMC-SC5" 208044 "B" "B3" 1.29013 "./data/SMC-SC5-208044.dat"
"574" "SMC-SC5" 202240 "B" "B1" 1.94635 "./data/SMC-SC5-202240.dat"
"575" "SMC-SC5" 208062 "C" "C1" 1.49426 "./data/SMC-SC5-208062.dat"
"576" "SMC-SC5" 214079 "B" "B2" 3.07438 "./data/SMC-SC5-214079.dat"
"577" "SMC-SC5" 180090 "B" "B2" 1.99276 "./data/SMC-SC5-180090.dat"
"578" "SMC-SC5" 202249 "B" "B2" 2.64874 "./data/SMC-SC5-202249.dat"
"579" "SMC-SC5" 166028 "C" "C1" 6.54677 "./data/SMC-SC5-166028.dat"
"580" "SMC-SC5" 225271 "B" "B2" 2.58269 "./data/SMC-SC5-225271.dat"
"581" "SMC-SC5" 170323 "B" "B2" 2.38466 "./data/SMC-SC5-170323.dat"
"582" "SMC-SC5" 180041 "B" "B2" 4.40703 "./data/SMC-SC5-180041.dat"
